"","OBJECTID","TAG","LU_NSWCode","LU_NSWMajo","LU_NSWDeta","LU_SCALDCo","LU_ALUM4Co","LU_ALUM5Co","LU_ALUM6Co","LU_ALUMMaj","LU_ALUMDet","Source","SourceScal","SourceDate","Reliabilit","LU_Mapping","Shape_Leng","Shape_Area","LU_ALUM7Co","LandUse"
"199",84328,"170","170","Grazing","Grazing - Residual strips (block or linear feature) of native grassland within cultivated paddock. Strips contain scattered to isolated trees only","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2001-08-15,3,2004-09-13,0.01456826592,8.47528e-06,"2.1.0",21
"200",223932,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00866157497,2.4443e-06,"3.6.1",11
"201",84329,"170","170","Grazing","Grazing - Residual strips (block or linear feature) of native grassland within cultivated paddock. Strips contain scattered to isolated trees only","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2001-08-15,3,2004-09-13,0.00641768262,2.46604e-06,"2.1.0",21
"202",205456,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00302109935,6.4518e-07,"6.2.0",14
"203",223933,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01124529095,8.1683e-06,"3.6.1",11
"204",33005,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.01952988116,1.703114e-05,"3.3.0",6
"205",84330,"170","170","Grazing","Grazing - Residual strips (block or linear feature) of native grassland within cultivated paddock. Strips contain scattered to isolated trees only","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2001-08-15,3,2004-09-13,0.00778359298,3.3547e-06,"2.1.0",21
"206",223934,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00317082843,5.963e-07,"3.6.1",11
"207",33007,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.10166886145,0.00023969844,"3.3.0",6
"208",33008,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.00991800831,3.08678e-06,"3.3.0",6
"209",33009,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.00898659512,4.89126e-06,"3.3.0",6
"210",223938,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01706089146,4.09938e-06,"3.6.1",11
"211",369714,"9","9","Tree & Shrub Cover","Native forest","g6a","1.3.3","1.3.3","1.3.3","Other minimal use","Residual native cover","air photo","1:25,000",2001-11-01,3,NA,0.06797205394,7.812791e-05,"1.3.3",35
"212",59700,"168","168","Grazing","Grazing of native vegetation. Grazing of domestic stock on essentially unmodified native vegetation","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2003-07-29,3,2004-10-18,0.10904966815,5.812262e-05,"2.1.0",22
"213",223941,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00674162684,2.31331e-06,"3.6.1",11
"214",248577,"9","9","Tree & Shrub Cover","Native forest","g6a","1.3.3","1.3.3","1.3.3","Other minimal use","Residual native cover","air photo","1:25,000",2001-11-01,3,NA,0.50981463883,0.00236061493,"1.3.3",35
"215",33013,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","air photo","1:50,000",2003-05-11,3,NA,0.03448790004,5.065231e-05,"3.3.0",6
"216",205465,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00367024169,9.5626e-07,"6.2.0",14
"217",223942,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.012202916,3.45925e-06,"3.6.1",11
"218",33014,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.14654305059,0.00070038616,"3.3.0",6
"219",205466,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00355690931,8.8043e-07,"6.2.0",14
"220",33015,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.06847112667,0.00010702506,"3.3.0",6
"221",33017,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.04466648481,8.586289e-05,"3.3.0",6
"222",223947,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00583193967,1.53374e-06,"3.6.1",11
"223",223948,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00507465383,1.51966e-06,"3.6.1",11
"224",361511,"4","4","Grazing","Volunteer, naturalised, native or improved pastures","c2b","3.3.1","3.2.1","3.2.1","Grazing modified pastures","Native/exotic pasture mosaic","air photo","1:25,000",2001-11-01,3,NA,0.02555050078,1.873494e-05,"3.2.1",53
"225",205473,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00330859325,6.3033e-07,"6.2.0",14
"226",223952,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.07772801071,0.00012811758,"3.6.1",11
"227",33024,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.04132548651,4.814254e-05,"3.3.0",6
"228",33025,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.01870335561,1.896084e-05,"3.3.0",6
"229",361517,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","air photo","1:25,000",2001-11-01,3,NA,0.04206982458,6.430723e-05,"3.3.0",6
"230",33027,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.01157707522,8.54197e-06,"3.3.0",6
"231",223956,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01236040803,4.95597e-06,"3.6.1",11
"232",361518,"4","4","Grazing","Volunteer, naturalised, native or improved pastures","c2b","3.3.1","3.2.1","3.2.1","Grazing modified pastures","Native/exotic pasture mosaic","air photo","1:25,000",2001-11-01,3,NA,0.01841524391,1.508002e-05,"3.2.1",53
"233",363572,"109","109","Special Category","Cliff/rock outcrop","j9m","1.3.0","1.3.0","1.3.0","Other minimal use","Other minimal use","air photo","1:25,000",2001-11-01,3,NA,0.01383320757,6.57327e-06,"1.3.0",2
"234",33029,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","air photo","1:50,000",2003-05-11,3,NA,0.01424567156,1.131737e-05,"3.3.0",6
"235",33030,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.05120995725,0.00013613373,"3.3.0",6
"236",33033,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.02178078971,9.89424e-06,"3.3.0",6
"237",223963,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01947097916,1.576698e-05,"3.6.1",11
"238",205487,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00590021508,2.48007e-06,"6.2.0",14
"239",297883,"4L","4L","Grazing","Volunteer, naturalised, native or improved pastures, with previous evidence of cultivation","c2b","3.3.1","3.2.1","3.2.1","Grazing modified pastures","Native/exotic pasture mosaic","air photo","1:25,000",2001-11-01,3,NA,0.0270510028,3.916264e-05,"3.2.1",57
"240",223967,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.02123494986,1.638455e-05,"3.6.1",11
"241",223968,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01197718114,7.10593e-06,"3.6.1",11
"242",33040,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.01236117184,1.04053e-05,"3.3.0",6
"243",223970,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00853193804,3.80575e-06,"3.6.1",11
"244",205494,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00621744728,2.72711e-06,"6.2.0",14
"245",33043,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","air photo","1:50,000",2003-05-11,3,NA,0.01306456575,8.34949e-06,"3.3.0",6
"246",223972,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00974142983,3.68483e-06,"3.6.1",11
"247",33044,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.0165777948,1.292326e-05,"3.3.0",6
"248",33046,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.02798831429,2.789446e-05,"3.3.0",6
"249",369752,"4R","4R","Grazing","Volunteer, naturalised, native or improved pastures - with more than 30% of ground area having regeneration of native tree species","c2b","3.3.1","3.2.1","3.2.1","Grazing modified pastures","Native/exotic pasture mosaic","air photo","1:25,000",2001-11-01,3,NA,0.03917154678,2.7138e-05,"3.2.1",56
"250",33051,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.01314631926,6.4792e-06,"3.3.0",6
"251",365648,"4","4","Grazing","Volunteer, naturalised, native or improved pastures","c2b","3.3.1","3.2.1","3.2.1","Grazing modified pastures","Native/exotic pasture mosaic","air photo","1:25,000",2001-11-01,3,NA,0.03668323535,2.363627e-05,"3.2.1",53
"252",33052,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.11186864613,0.00017002486,"3.3.0",6
"253",365649,"4","4","Grazing","Volunteer, naturalised, native or improved pastures","c2b","3.3.1","3.2.1","3.2.1","Grazing modified pastures","Native/exotic pasture mosaic","air photo","1:25,000",2001-11-01,3,NA,0.02495979418,1.484673e-05,"3.2.1",53
"254",33053,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.02625626811,3.858596e-05,"3.3.0",6
"255",205505,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00256844466,4.4299e-07,"6.2.0",14
"256",33056,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","air photo","1:50,000",2003-05-11,3,NA,0.03663807279,5.288328e-05,"3.3.0",6
"257",33057,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.02436919498,1.741034e-05,"3.3.0",6
"258",223986,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01395674481,1.104804e-05,"3.6.1",11
"259",205510,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00268103837,5.3273e-07,"6.2.0",14
"260",33060,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.00788985401,2.19619e-06,"3.3.0",6
"261",33061,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.08461656471,0.00024901281,"3.3.0",6
"262",33062,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.02359681459,1.412224e-05,"3.3.0",6
"263",223991,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.02087591525,1.09168e-05,"3.6.1",11
"264",33063,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.04571140174,9.240224e-05,"3.3.0",6
"265",223992,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.02018162187,7.03277e-06,"3.6.1",11
"266",248629,"9","9","Tree & Shrub Cover","Native forest","g6a","1.3.3","1.3.3","1.3.3","Other minimal use","Residual native cover","air photo","1:50,000",2003-07-29,3,2004-10-18,0.0140425229,7.81672e-06,"1.3.3",35
"267",205517,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00371001015,1.00997e-06,"6.2.0",14
"268",205518,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00406178624,1.14711e-06,"6.2.0",14
"269",367716,"4","4","Grazing","Volunteer, naturalised, native or improved pastures","c2b","3.3.1","3.2.1","3.2.1","Grazing modified pastures","Native/exotic pasture mosaic","air photo","1:25,000",2001-11-01,3,NA,0.04369945211,4.739842e-05,"3.2.1",53
"270",33067,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.0063275153,2.41027e-06,"3.3.0",6
"271",33069,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.14483924279,0.0002548856,"3.3.0",6
"272",33070,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.06753966892,7.54997e-05,"3.3.0",6
"273",205523,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00436976503,1.35951e-06,"6.2.0",14
"274",224000,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.0053202242,1.75007e-06,"3.6.1",11
"275",33072,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.02914461405,4.412293e-05,"3.3.0",6
"276",367723,"4","4","Grazing","Volunteer, naturalised, native or improved pastures","c2b","3.3.1","3.2.1","3.2.1","Grazing modified pastures","Native/exotic pasture mosaic","air photo","1:25,000",2001-11-01,3,NA,0.01449480533,9.00195e-06,"3.2.1",53
"277",205526,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00430286408,1.15559e-06,"6.2.0",14
"278",205529,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00402657852,1.17289e-06,"6.2.0",14
"279",224006,"83","83","Grazing","Degraded land (salt site, eroded area)","nsg","1.3.4","1.3.4","3.6.1","Land in transition","Degraded land","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01243743062,4.82863e-06,"3.6.1",11
"280",33081,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.01948608988,1.699418e-05,"3.3.0",6
"281",205535,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00492234116,1.76907e-06,"6.2.0",14
"282",59775,"168","168","Grazing","Grazing of native vegetation. Grazing of domestic stock on essentially unmodified native vegetation","c2a","2.1.0","2.1.0","2.1.0","Grazing native vegetation","Grazing native vegetation","air photo","1:50,000",2001-08-15,3,2004-09-13,0.08777805251,7.998285e-05,"2.1.0",22
"283",365687,"4R","4R","Grazing","Volunteer, naturalised, native or improved pastures - with more than 30% of ground area having regeneration of native tree species","c2b","3.3.1","3.2.1","3.2.1","Grazing modified pastures","Native/exotic pasture mosaic","air photo","1:25,000",2001-11-01,3,NA,0.02860416668,1.851888e-05,"3.2.1",56
"284",295884,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","air photo","1:25,000",2001-11-01,3,NA,0.04646876823,0.00010854488,"3.3.0",6
"285",33093,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","air photo","1:50,000",2003-05-11,3,NA,0.03652923561,6.62398e-05,"3.3.0",6
"286",248660,"9","9","Tree & Shrub Cover","Native forest","g6a","1.3.3","1.3.3","1.3.3","Other minimal use","Residual native cover","air photo","1:50,000",2003-07-29,3,2004-10-18,0.02953587322,3.335228e-05,"1.3.3",35
"287",369799,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","air photo","1:25,000",2001-11-01,3,NA,0.02141113058,1.429299e-05,"3.3.0",6
"288",33096,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.03644810106,5.595863e-05,"3.3.0",6
"289",205548,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00522865804,1.90556e-06,"6.2.0",14
"290",33098,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.07346158413,0.00027000709,"3.3.0",6
"291",33099,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","air photo","1:50,000",2003-05-11,3,NA,0.0205975641,1.775959e-05,"3.3.0",6
"292",33100,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.05332065605,5.180422e-05,"3.3.0",6
"293",369805,"19","19","Transport & Other Corridors","Road or road reserve","j9c","5.7.2","5.7.2","5.7.2","Transport and communication","Roads","air photo","1:25,000",2001-11-01,3,NA,0.07425734048,1.42788e-05,"5.7.2",44
"294",205555,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00222704929,3.3567e-07,"6.2.0",14
"295",205558,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00446191364,1.45901e-06,"6.2.0",14
"296",33108,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.06118494327,6.915228e-05,"3.3.0",6
"297",33109,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.04249114071,8.474155e-05,"3.3.0",6
"298",205562,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.0041817415,1.1987e-06,"6.2.0",14
"299",248676,"9","9","Tree & Shrub Cover","Native forest","g6a","1.3.3","1.3.3","1.3.3","Other minimal use","Residual native cover","air photo","1:50,000",2003-07-29,3,2004-10-18,0.04837924046,3.638769e-05,"1.3.3",35
"300",371868,"109","109","Special Category","Cliff/rock outcrop","j9m","1.3.0","1.3.0","1.3.0","Other minimal use","Other minimal use","air photo","1:25,000",2001-11-01,3,NA,0.01004706573,3.97735e-06,"1.3.0",2
"301",205564,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.0019585656,2.7686e-07,"6.2.0",14
"302",248678,"9","9","Tree & Shrub Cover","Native forest","g6a","1.3.3","1.3.3","1.3.3","Other minimal use","Residual native cover","air photo","1:50,000",2003-07-29,3,2004-10-18,0.0116566246,3.73098e-06,"1.3.3",35
"303",33114,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.03042217003,4.960316e-05,"3.3.0",6
"304",205566,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00223355229,3.5819e-07,"6.2.0",14
"305",33115,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.03074591297,4.232921e-05,"3.3.0",6
"306",33116,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.00632483537,1.57773e-06,"3.3.0",6
"307",248681,"9","9","Tree & Shrub Cover","Native forest","g6a","1.3.3","1.3.3","1.3.3","Other minimal use","Residual native cover","air photo","1:50,000",2003-05-11,3,NA,0.00240995761,3.1998e-07,"1.3.3",35
"308",248682,"9","9","Tree & Shrub Cover","Native forest","g6a","1.3.3","1.3.3","1.3.3","Other minimal use","Residual native cover","air photo","1:50,000",2003-05-11,3,NA,0.00715970014,2.27444e-06,"1.3.3",35
"309",33118,"1","1","Cropping","Cropping - continuous or rotation","a0a","3.4.0","3.3.0","3.3.0","Cropping","Cropping","Landsat ETM/TM","1:50,000",1999-10-20,5,2004-10-18,0.01994878349,2.149959e-05,"3.3.0",6
"310",205570,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.00376895025,1.04608e-06,"6.2.0",14
"311",205572,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-05-11,3,NA,0.00205233983,2.8852e-07,"6.2.0",14
"312",248685,"9","9","Tree & Shrub Cover","Native forest","g6a","1.3.3","1.3.3","1.3.3","Other minimal use","Residual native cover","air photo","1:50,000",2003-05-11,3,NA,0.02051062865,1.121291e-05,"1.3.3",35
"313",369824,"4","4","Grazing","Volunteer, naturalised, native or improved pastures","c2b","3.3.1","3.2.1","3.2.1","Grazing modified pastures","Native/exotic pasture mosaic","air photo","1:25,000",2001-11-01,3,NA,0.02412981358,1.13173e-05,"3.2.1",53
"314",205573,"8","8","River & Drainage System","Farm dam","f5g","6.2.0","6.2.0","6.2.0","Reservoir/dam","Reservoir/dam","air photo","1:50,000",2003-07-29,3,2004-10-18,0.01115568109,6.43687e-06,"6.2.0",14
"315",248686,"9","9","Tree & Shrub Cover","Native forest","g6a","1.3.3","1.3.3","1.3.3","Other minimal use","Residual native cover","air photo","1:50,000",2003-05-11,3,NA,0.00748315606,2.1723e-06,"1.3.3",35
